item_id,knowledge_code
0,{0}
1,{1}
2,{2}
3,{3}
4,{1}
5,{1}
6,{3}
7,{4}
8,{5}
9,{6}
10,{4}
11,{3}
12,{7}
13,{8}
14,{4}
15,{9}
16,{3}
17,{10}
18,{11}
19,{4}
20,{1}
21,{4}
22,{12}
23,{4}
24,{3}
25,{13}
26,{3}
27,{14}
28,{11}
29,{3}
30,{15}
31,{2}
32,{3}
33,{3}
34,{16}
35,{9}
36,{3}
37,{1}
38,{3}
39,{17}
40,{18}
41,{17}
42,{19}
43,{17}
44,{18}
45,{19}
46,{2}
47,{18}
48,{3}
49,{19}
50,{15}
51,{14}
52,{1}
53,{1}
54,{18}
55,{20}
56,{13}
57,{17}
58,{1}
59,{3}
60,{1}
61,{5}
62,{3}
63,{14}
64,{21}
65,{11}
66,{1}
67,{17}
68,{3}
69,{22}
70,{4}
71,{17}
72,{3}
73,{23}
74,{5}
75,{5}
76,{24}
77,{14}
78,{14}
79,{25}
80,{23}
81,{1}
82,{3}
83,{2}
84,{1}
85,{5}
86,{4}
87,{26}
88,{24}
89,{10}
90,{19}
91,{27}
92,{18}
93,{4}
94,{23}
95,{5}
96,{14}
97,{21}
98,{4}
99,{23}
100,{24}
101,{3}
102,{27}
103,{5}
104,{17}
105,{4}
106,{4}
107,{1}
108,{27}
109,{28}
110,{4}
111,{14}
112,{17}
113,{1}
114,{23}
115,{2}
116,{3}
117,{19}
118,{17}
119,{3}
120,{29}
121,{14}
122,{21}
123,{30}
124,{5}
125,{31}
126,{12}
127,{11}
128,{3}
129,{13}
130,{32}
131,{24}
132,{3}
133,{17}
134,{25}
135,{14}
136,{23}
137,{1}
138,{4}
139,{25}
140,{2}
141,{17}
142,{5}
143,{31}
144,{5}
145,{8}
146,{11}
147,{18}
148,{18}
149,{1}
150,{25}
151,{17}
152,{23}
153,{4}
154,{3}
155,{16}
156,{1}
157,{25}
158,{21}
159,{18}
160,{8}
161,{25}
162,{32}
163,{28}
164,{9}
165,{24}
166,{33}
167,{5}
168,{21}
169,{2}
170,{29}
171,{13}
172,{24}
173,{13}
174,{4}
175,{30}
176,{8}
177,{6}
178,{20}
179,{7}
180,{11}
181,{19}
182,{1}
183,{23}
184,{18}
185,{2}
186,{11}
187,{21}
188,{33}
189,{5}
190,{20}
191,{21}
192,{13}
193,{34}
194,{35}
195,{5}
196,{13}
197,{7}
198,{26}
199,{3}
200,{4}
201,{28}
202,{35}
203,{5}
204,{35}
205,{25}
206,{13}
207,{23}
208,{23}
209,{36}
210,{17}
211,{14}
212,{37}
213,{19}
214,{13}
215,{19}
216,{23}
217,{7}
218,{4}
219,{5}
220,{21}
221,{17}
222,{33}
223,{7}
224,{34}
225,{24}
226,{7}
227,{4}
228,{13}
229,{13}
230,{5}
231,{23}
232,{32}
233,{17}
234,{13}
235,{10}
236,{4}
237,{5}
238,{14}
239,{25}
240,{25}
241,{18}
242,{1}
243,{1}
244,{14}
245,{3}
246,{10}
247,{22}
248,{24}
249,{24}
250,{14}
251,{16}
252,{4}
253,{18}
254,{5}
255,{1}
256,{4}
257,{3}
258,{12}
259,{4}
260,{3}
261,{37}
262,{6}
263,{23}
264,{28}
265,{5}
266,{19}
267,{4}
268,{25}
269,{18}
270,{23}
271,{3}
272,{24}
273,{25}
274,{10}
275,{11}
276,{18}
277,{14}
278,{28}
279,{10}
280,{23}
281,{1}
282,{4}
283,{24}
284,{5}
285,{12}
286,{36}
287,{11}
288,{25}
289,{12}
290,{29}
291,{38}
292,{4}
293,{3}
294,{4}
295,{5}
296,{4}
297,{24}
298,{5}
299,{4}
300,{36}
301,{4}
302,{4}
303,{14}
304,{23}
305,{4}
306,{2}
307,{6}
308,{23}
309,{39}
310,{14}
311,{28}
312,{25}
313,{12}
314,{29}
315,{29}
316,{25}
317,{28}
318,{28}
319,{4}
320,{13}
321,{25}
322,{13}
323,{2}
324,{5}
325,{13}
326,{14}
327,{18}
328,{3}
329,{30}
330,{5}
331,{29}
332,{32}
333,{28}
334,{11}
335,{13}
336,{2}
337,{2}
338,{30}
339,{21}
340,{29}
341,{25}
342,{19}
343,{14}
344,{26}
345,{32}
346,{10}
347,{4}
348,{36}
349,{14}
350,{23}
351,{18}
352,{3}
353,{28}
354,{4}
355,{25}
356,{39}
357,{13}
358,{2}
359,{3}
360,{19}
361,{36}
362,{30}
363,{23}
364,{36}
365,{25}
366,{7}
367,{24}
368,{5}
369,{10}
370,{5}
371,{9}
372,{34}
373,{12}
374,{28}
375,{27}
376,{5}
377,{25}
378,{7}
379,{14}
380,{7}
381,{21}
382,{33}
383,{12}
384,{28}
385,{24}
386,{24}
387,{24}
388,{33}
389,{19}
390,{14}
391,{7}
392,{14}
393,{28}
394,{5}
395,{12}
396,{21}
397,{31}
398,{4}
399,{10}
400,{7}
401,{29}
402,{9}
403,{22}
404,{34}
405,{4}
406,{8}
407,{14}
408,{5}
409,{7}
410,{25}
411,{13}
412,{26}
413,{20}
414,{36}
415,{8}
416,{24}
417,{2}
418,{37}
419,{34}
420,{25}
421,{24}
422,{31}
423,{19}
424,{14}
425,{23}
426,{30}
427,{5}
428,{29}
429,{16}
430,{24}
431,{2}
432,{23}
433,{5}
434,{25}
435,{5}
436,{9}
437,{23}
438,{25}
439,{27}
440,{28}
441,{4}
442,{8}
443,{8}
444,{2}
445,{25}
446,{29}
447,{28}
448,{11}
449,{36}
450,{31}
451,{24}
452,{25}
453,{32}
454,{4}
455,{23}
456,{34}
457,{14}
458,{37}
459,{4}
460,{19}
461,{33}
462,{2}
463,{8}
464,{24}
465,{23}
466,{36}
467,{14}
468,{28}
469,{32}
470,{34}
471,{25}
472,{11}
473,{33}
474,{29}
475,{24}
476,{37}
477,{36}
478,{2}
479,{36}
480,{22}
481,{11}
482,{1}
483,{10}
484,{14}
485,{29}
486,{1}
487,{36}
488,{27}
489,{4}
490,{14}
491,{28}
492,{4}
493,{25}
494,{1}
495,{4}
496,{5}
497,{5}
498,{19}
499,{28}
500,{19}
501,{6}
502,{33}
503,{36}
504,{29}
505,{25}
506,{5}
507,{25}
508,{24}
509,{25}
510,{31}
511,{12}
512,{28}
513,{9}
514,{4}
515,{29}
516,{23}
517,{25}
518,{4}
519,{25}
520,{11}
521,{34}
522,{36}
523,{29}
524,{35}
525,{2}
526,{29}
527,{29}
528,{5}
529,{27}
530,{12}
531,{26}
532,{23}
533,{5}
534,{4}
535,{2}
536,{15}
537,{8}
538,{29}
539,{4}
540,{27}
541,{29}
542,{24}
543,{6}
544,{27}
545,{9}
546,{28}
547,{39}
548,{25}
549,{34}
550,{24}
551,{14}
552,{5}
553,{32}
554,{25}
555,{25}
556,{23}
557,{29}
558,{26}
559,{33}
560,{29}
561,{25}
562,{25}
563,{19}
564,{35}
565,{10}
566,{24}
567,{25}
568,{25}
569,{26}
570,{5}
571,{36}
572,{6}
573,{35}
574,{34}
575,{2}
576,{33}
577,{8}
578,{27}
579,{2}
580,{31}
581,{13}
582,{33}
583,{8}
584,{24}
585,{2}
586,{14}
587,{31}
588,{8}
589,{12}
590,{6}
591,{6}
592,{25}
593,{8}
594,{8}
595,{28}
596,{29}
597,{29}
598,{2}
599,{9}
600,{4}
601,{10}
602,{8}
603,{22}
604,{33}
605,{8}
606,{32}
607,{22}
608,{28}
609,{19}
610,{2}
611,{29}
612,{8}
613,{10}
614,{25}
615,{32}
616,{35}
617,{9}
618,{26}
619,{27}
620,{27}
621,{25}
622,{2}
623,{8}
624,{15}
625,{27}
626,{25}
627,{8}
628,{28}
629,{25}
630,{27}
631,{27}
632,{27}
633,{26}
634,{26}
635,{28}
636,{29}
637,{28}
638,{5}
639,{6}
640,{6}
641,{4}
642,{31}
643,{34}
644,{14}
645,{2}
646,{35}
647,{24}
648,{28}
649,{15}
650,{25}
651,{25}
652,{28}
653,{34}
654,{15}
655,{32}
656,{10}
657,{29}
658,{34}
659,{32}
660,{4}
661,{12}
662,{25}
663,{9}
664,{18}
665,{32}
666,{11}
667,{2}
668,{35}
669,{9}
670,{32}
671,{25}
672,{8}
673,{9}
674,{2}
675,{28}
676,{34}
677,{39}
678,{36}
679,{33}
680,{14}
681,{32}
682,{35}
683,{15}
684,{4}
685,{3}
686,{39}
687,{32}
688,{14}
689,{27}
690,{8}
691,{15}
692,{3}
693,{27}
694,{21}
695,{35}
696,{29}
697,{29}
698,{34}
699,{7}
700,{5}
701,{8}
702,{3}
703,{5}
704,{28}
705,{38}
706,{8}
707,{32}
708,{39}
709,{34}
710,{9}
711,{3}
712,{9}
713,{32}
714,{9}
